Start Date,22/06/1997,10000,,,,,,,
End Date,07/11/2024,0,,,,,,,
,,,,,,,,,
,SPX Index,,,,,,,,
Dates,PX_LAST,EQY_DVD_YLD_12M,30DAY_IMPVOL_100.0%MNY_DF,60DAY_IMPVOL_100.0%MNY_DF,3MTH_IMPVOL_100.0%MNY_DF,6MTH_IMPVOL_100.0%MNY_DF,12MTH_IMPVOL_100.0%MNY_DF,18MTH_IMPVOL_100.0%MNY_DF,24MTH_IMPVOL_100.0%MNY_DF
23 June 1997,878.62,1.663,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24 June 1997,896.34,1.6302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25 June 1997,888.99,1.6319,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26 June 1997,883.68,1.6429,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27 June 1997,887.3,1.6361,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30 June 1997,885.14,1.6859,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01 July 1997,891.03,1.6682,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02 July 1997,904.03,1.6456,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03 July 1997,916.92,1.6225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07 July 1997,912.2,1.6302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08 July 1997,918.75,1.6191,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09 July 1997,907.54,1.64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10 July 1997,913.78,1.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11 July 1997,916.68,1.6254,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14 July 1997,918.38,1.6165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15 July 1997,925.76,1.6036,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16 July 1997,936.59,1.5848,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17 July 1997,931.61,1.5928,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18 July 1997,915.3,1.6212,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21 July 1997,912.94,1.6254,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22 July 1997,933.98,1.5879,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23 July 1997,936.56,1.5838,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24 July 1997,940.3,1.5775,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25 July 1997,938.79,1.58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28 July 1997,936.45,1.5831,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29 July 1997,942.29,1.5742,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30 July 1997,952.29,1.5594,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31 July 1997,954.29,1.5698,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01 August 1997,947.14,1.5773,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04 August 1997,950.3,1.5716,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05 August 1997,952.37,1.5682,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06 August 1997,960.32,1.5559,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07 August 1997,951.19,1.5714,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08 August 1997,933.54,1.6011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11 August 1997,937,1.5948,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12 August 1997,926.53,1.6138,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13 August 1997,922.02,1.6229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14 August 1997,924.77,1.619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15 August 1997,900.81,1.6627,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18 August 1997,912.49,1.6422,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19 August 1997,926.01,1.6184,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20 August 1997,939.35,1.5967,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21 August 1997,925.05,1.6215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22 August 1997,923.55,1.6242,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25 August 1997,920.16,1.6277,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26 August 1997,913.02,1.6406,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27 August 1997,913.7,1.6401,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28 August 1997,903.67,1.6593,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29 August 1997,899.47,1.6734,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02 September 1997,927.58,1.6224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03 September 1997,927.86,1.6231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04 September 1997,930.87,1.6179,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05 September 1997,929.05,1.6212,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08 September 1997,931.2,1.6169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09 September 1997,933.62,1.6128,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10 September 1997,919.03,1.6387,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11 September 1997,912.59,1.6505,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
