Start Date,22/06/1997,10000
End Date,07/11/2024,0
,,
,USGG12M Index,
,Last Trade/Last Price,
Dates,LAST_PRICE,
23/06/1997,5.661,
24/06/1997,5.639,
25/06/1997,5.639,
26/06/1997,5.627,
27/06/1997,5.614,
30/06/1997,5.657,
01/07/1997,5.635,
02/07/1997,5.623,
03/07/1997,5.555,
04/07/1997,5.554,
07/07/1997,5.521,
08/07/1997,5.521,
09/07/1997,5.509,
10/07/1997,5.508,
11/07/1997,5.496,
14/07/1997,5.517,
15/07/1997,5.516,
16/07/1997,5.494,
17/07/1997,5.493,
18/07/1997,5.562,
21/07/1997,5.584,
22/07/1997,5.507,
23/07/1997,5.518,
24/07/1997,5.517,
25/07/1997,5.515,
28/07/1997,5.493,
29/07/1997,5.459,
30/07/1997,5.436,
31/07/1997,5.425,
01/08/1997,5.5,
04/08/1997,5.499,
05/08/1997,5.521,
06/08/1997,5.498,
07/08/1997,5.508,
08/08/1997,5.572,
11/08/1997,5.605,
12/08/1997,5.615,
13/08/1997,5.559,
14/08/1997,5.515,
15/08/1997,5.496,
18/08/1997,5.496,
19/08/1997,5.507,
20/08/1997,5.518,
21/08/1997,5.55,
22/08/1997,5.559,
25/08/1997,5.591,
26/08/1997,5.58,
27/08/1997,5.59,
28/08/1997,5.535,
29/08/1997,5.565,
01/09/1997,5.564,
02/09/1997,5.531,
03/09/1997,5.564,
04/09/1997,5.574,
05/09/1997,5.561,
08/09/1997,5.572,
09/09/1997,5.56,
10/09/1997,5.581,
11/09/1997,5.592,
12/09/1997,5.529,
15/09/1997,5.529,
16/09/1997,5.452,
17/09/1997,5.452,
18/09/1997,5.473,
19/09/1997,5.46,
22/09/1997,5.449,
23/09/1997,5.47,
24/09/1997,5.458,
25/09/1997,5.48,
26/09/1997,5.445,
29/09/1997,5.444,
30/09/1997,5.444,
01/10/1997,5.41,
02/10/1997,5.41,
03/10/1997,5.375,
06/10/1997,5.375,
07/10/1997,5.352,
08/10/1997,5.439,
09/10/1997,5.438,
10/10/1997,5.54,
13/10/1997,5.54,
14/10/1997,5.496,
15/10/1997,5.518,
16/10/1997,5.495,
17/10/1997,5.548,
20/10/1997,5.547,
21/10/1997,5.547,
22/10/1997,5.568,
23/10/1997,5.458,
24/10/1997,5.423,
27/10/1997,5.215,
28/10/1997,5.4,
29/10/1997,5.301,
30/10/1997,5.279,
31/10/1997,5.353,
03/11/1997,5.407,
04/11/1997,5.429,
05/11/1997,5.395,
06/11/1997,5.406,
07/11/1997,5.43,
10/11/1997,5.452,
11/11/1997,5.452,
12/11/1997,5.396,
13/11/1997,5.407,
14/11/1997,5.427,
17/11/1997,5.438,
18/11/1997,5.47,
19/11/1997,5.458,
20/11/1997,5.469,
21/11/1997,5.434,
24/11/1997,5.444,
25/11/1997,5.466,
26/11/1997,5.465,
27/11/1997,5.474,
28/11/1997,5.495,
01/12/1997,5.539,
02/12/1997,5.527,
03/12/1997,5.494,
04/12/1997,5.493,
05/12/1997,5.584,
08/12/1997,5.617,
09/12/1997,5.562,
10/12/1997,5.496,
11/12/1997,5.451,
12/12/1997,5.394,
15/12/1997,5.46,
16/12/1997,5.448,
17/12/1997,5.491,
18/12/1997,5.469,
19/12/1997,5.489,
22/12/1997,5.521,
23/12/1997,5.51,
24/12/1997,5.519,
25/12/1997,5.517,
26/12/1997,5.517,
29/12/1997,5.528,
30/12/1997,5.516,
31/12/1997,5.482,
01/01/1998,5.48,
02/01/1998,5.425,
05/01/1998,5.338,
06/01/1998,5.272,
07/01/1998,5.298,
08/01/1998,5.188,
09/01/1998,5.077,
12/01/1998,5.109,
13/01/1998,5.185,
14/01/1998,5.196,
15/01/1998,5.162,
16/01/1998,5.226,
19/01/1998,5.225,
20/01/1998,5.246,
21/01/1998,5.214,
22/01/1998,5.18,
23/01/1998,5.244,
26/01/1998,5.233,
27/01/1998,5.308,
28/01/1998,5.319,
29/01/1998,5.242,
30/01/1998,5.221,
02/02/1998,5.265,
03/02/1998,5.232,
04/02/1998,5.221,
05/02/1998,5.254,
06/02/1998,5.252,
09/02/1998,5.262,
10/02/1998,5.284,
11/02/1998,5.272,
12/02/1998,5.261,
13/02/1998,5.247,
16/02/1998,5.247,
17/02/1998,5.246,
18/02/1998,5.268,
19/02/1998,5.289,
20/02/1998,5.288,
23/02/1998,5.331,
24/02/1998,5.44,
25/02/1998,5.417,
26/02/1998,5.428,
27/02/1998,5.397,
02/03/1998,5.419,
03/03/1998,5.441,
04/03/1998,5.386,
05/03/1998,5.407,
06/03/1998,5.383,
09/03/1998,5.372,
10/03/1998,5.36,
11/03/1998,5.36,
12/03/1998,5.315,
13/03/1998,5.325,
16/03/1998,5.324,
17/03/1998,5.334,
18/03/1998,5.345,
19/03/1998,5.355,
20/03/1998,5.342,
23/03/1998,5.342,
24/03/1998,5.352,
25/03/1998,5.384,
26/03/1998,5.417,
27/03/1998,5.419,
30/03/1998,5.43,
31/03/1998,5.386,
01/04/1998,5.353,
02/04/1998,5.33,
03/04/1998,5.252,
06/04/1998,5.284,
07/04/1998,5.284,
08/04/1998,5.294,
09/04/1998,5.325,
10/04/1998,5.324,
13/04/1998,5.389,
14/04/1998,5.378,
15/04/1998,5.356,
16/04/1998,5.344,
17/04/1998,5.342,
20/04/1998,5.375,
21/04/1998,5.385,
22/04/1998,5.384,
23/04/1998,5.395,
24/04/1998,5.397,
27/04/1998,5.474,
28/04/1998,5.474,
29/04/1998,5.485,
30/04/1998,5.385,
01/05/1998,5.405,
04/05/1998,5.405,
05/05/1998,5.426,
06/05/1998,5.393,
07/05/1998,5.414,
08/05/1998,5.423,
11/05/1998,5.466,
12/05/1998,5.444,
13/05/1998,5.421,
14/05/1998,5.454,
15/05/1998,5.452,
18/05/1998,5.429,
19/05/1998,5.429,
20/05/1998,5.406,
21/05/1998,5.438,
22/05/1998,5.452,
25/05/1998,5.452,
26/05/1998,5.43,
27/05/1998,5.419,
28/05/1998,5.418,
29/05/1998,5.416,
01/06/1998,5.394,
02/06/1998,5.393,
03/06/1998,5.393,
04/06/1998,5.425,
05/06/1998,5.434,
08/06/1998,5.444,
09/06/1998,5.444,
10/06/1998,5.421,
11/06/1998,5.355,
12/06/1998,5.321,
15/06/1998,5.309,
16/06/1998,5.374,
17/06/1998,5.417,
18/06/1998,5.406,
19/06/1998,5.408,
