quote_datetime,strike_price,w,trade_size,trade_price,trade_iv,spot_price,days_to_maturity
2024-10-07 03:00:00.938,5765.0,call,7,51.7,0.1421,5743.6371,10
2024-10-07 03:00:01.023,5670.0,put,1,9.9,0.1863,5743.6371,1
2024-10-07 03:00:04.155,5875.0,call,1,4.2,0.116,5742.9374,6
2024-10-07 03:00:22.069,5700.0,put,1,54.1,0.1533,5741.6879,17
2024-10-07 03:00:27.288,3500.0,put,4,5.4,0.5138,5741.388,73
2024-10-07 03:01:10.563,5690.0,put,1,52.2,0.1561,5740.2885,17
2024-10-07 03:02:16.574,5900.0,call,8,23.6,0.1196,5740.2885,24
2024-10-07 03:02:35.722,5500.0,put,30,1.3,0.2684,5740.7883,1
2024-10-07 03:02:35.722,5500.0,put,28,1.3,0.2684,5740.7883,1
2024-10-07 03:02:35.723,5500.0,put,58,1.3,0.2684,5740.7883,1
2024-10-07 03:02:35.723,5500.0,put,84,1.3,0.2684,5740.7883,1
2024-10-07 03:03:37.981,5920.0,call,19,15.7,0.1128,5741.8379,23
2024-10-07 03:04:05.971,5820.0,call,1,3.2,0.1305,5740.6883,1
2024-10-07 03:04:21.648,4000.0,put,1,1.75,0.5912,5740.7883,22
2024-10-07 03:06:03.713,5700.0,put,1,28.3,0.186,5740.5884,3
2024-10-07 03:10:44.627,5820.0,call,5,3.3,0.1299,5742.1377,1
2024-10-07 03:11:11.799,5125.0,put,3,0.95,0.4445,5740.3385,3
2024-10-07 03:11:57.355,5875.0,call,81,2.4,0.1329,5740.1885,3
2024-10-07 03:12:07.268,5875.0,call,8,2.35,0.1324,5740.0886,3
2024-10-07 03:12:07.268,5875.0,call,61,2.35,0.1324,5740.0886,3
2024-10-07 03:12:21.983,5765.0,call,2,26.5,0.165,5740.1885,2
2024-10-07 03:12:27.452,5470.0,put,1,1.05,0.2863,5739.3389,1
2024-10-07 03:12:41.275,4000.0,put,1,2.9,0.5444,5739.2389,30
2024-10-07 03:13:43.590,5730.0,put,20,51.6,0.1491,5739.1889,10
2024-10-07 03:14:43.249,5550.0,put,14,34.2,0.1837,5739.4888,23
2024-10-07 03:14:43.306,5550.0,put,2,34.2,0.1837,5739.5888,23
2024-10-07 03:14:59.080,5820.0,call,2,3.1,0.1312,5739.2889,1
2024-10-07 03:15:06.600,5755.0,call,10,22.39,0.154,5738.7391,1
2024-10-07 03:15:10.569,5300.0,put,1,26.61,0.2491,5738.7391,31
2024-10-07 03:15:10.569,5520.0,put,2,51.93,0.2111,5738.7391,31
2024-10-07 03:15:11.233,5765.0,call,18,173.5,0.1575,5738.7891,73
2024-10-07 03:15:15.927,4000.0,put,1,3.8,0.5068,5738.7391,38
2024-10-07 03:15:16.331,4000.0,put,1,1.8,0.5928,5738.7391,22
2024-10-07 03:15:20.058,5735.0,put,1,41.15,0.1759,5738.7391,3
2024-10-07 03:15:24.813,5785.0,call,1,10.3,0.1429,5738.2393,1
2024-10-07 03:16:04.808,3400.0,put,4,5.6,0.5076,5737.9394,84
2024-10-07 03:16:04.820,5600.0,put,1,73.88,0.1908,5737.9394,38
2024-10-07 03:16:04.820,5350.0,put,1,36.38,0.2324,5737.9394,38
2024-10-07 03:16:05.406,3600.0,put,1,2.95,0.5659,5737.8395,45
2024-10-07 03:16:05.510,3000.0,put,1,3.5,0.578,5736.9898,84
2024-10-07 03:16:05.562,4200.0,put,1,2.65,0.5349,5736.9398,23
2024-10-07 03:16:05.817,5520.0,put,16,5.3,0.2468,5737.0398,3
2024-10-07 03:16:05.833,4500.0,put,1,0.85,0.5954,5737.0398,8
2024-10-07 03:16:07.371,5755.0,call,5,21.83,0.155,5736.9898,1
2024-10-07 03:16:07.705,5755.0,call,3,21.76,0.155,5736.8399,1
2024-10-07 03:16:07.721,5755.0,call,1,21.71,0.1547,5736.8399,1
