date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,lambda_,nu,delta,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-01-03,1280.3824,0.001578,0.020857999999999998,0.10675586225645767,0.6343534376723274,-0.867937479952975,0.5757793472727148,0.040858909769923416,0.08545947325185312,-0.3940201893974087,0.40847380172474174,-0.19607996031767877,0.010327484221271974,0.15230043921782926,370,True,11,113,370,332384,1258.86,1284.62,0.02046295854979907,False,2012-01-03 16:19:32.942
2012-01-04,1274.1283,0.001578,0.020857999999999998,0.14217656760970568,1.339936733570472,-0.9072680108601163,1.0717171831817316,0.047011264860441375,0.1344291049804178,0.12057395528012875,0.0010005237043186036,-0.7675625095405644,0.01128461581913652,0.15458286638314472,340,True,10,107,340,226712,1268.15,1278.73,0.008342861648858557,False,2012-01-04 16:14:58.707
2012-01-06,1278.3748,0.001675,0.020933999999999998,0.08382870394123089,0.9040080036998898,-0.8467504614988517,0.5864949386252296,0.032688342598928416,0.058422751477443614,-0.48996291034260064,0.4999536778240376,-0.19241267442768942,0.013428933425046289,0.21426707352298915,267,True,8,99,267,338015,1273.44,1281.76,0.006533484106043375,False,2012-01-06 16:17:59.965
2012-01-05,1274.731,0.001776,0.020865,0.11817213180476438,0.8123531072109682,-0.8818172890459927,0.6428321568684553,0.037997093809694245,0.06811791495035416,-0.34616344072388916,0.42057523665079105,-0.22123818498946146,0.01150511729371119,0.17936352805760503,333,True,8,107,333,276393,1265.31,1283.05,0.014020279615272191,False,2012-01-05 16:18:55.947
2012-01-09,1279.0535,0.001675,0.020933999999999998,0.13368266242146332,1.2582923519078681,-0.86091732568805,1.0499274023323337,0.04573703111160709,0.05147651742165462,0.08418372330059276,0.09985549914056734,-0.7659238067531049,0.007978635632265842,0.096681938443538,223,True,7,93,223,234730,1274.75,1281.95,0.005648166307119062,False,2012-01-09 16:16:15.534
2012-01-10,1293.0412,0.0015229999999999998,0.020710000000000003,0.10524248637756933,0.5265196065279449,-0.8712897801754196,0.48703059963167505,0.030793122282806666,0.08981280463879332,-0.4158374791881134,0.4115179049622516,-0.12637433994250813,0.005643888339120683,0.09063657185568975,245,True,7,100,245,302943,1280.77,1296.3,0.012125518242932065,False,2012-01-10 16:15:08.454
2012-01-11,1289.269,0.001675,0.020712,0.07671893201385417,1.4866584115623183,-0.8003113671483966,0.829154252965742,0.03954642868130185,0.050830457276475303,-0.49999997451229483,0.3739475681228227,-0.4593870840022297,0.007333289828664062,0.099591483097432,232,True,8,96,232,235676,1285.41,1293.79,0.006519320683672891,False,2012-01-11 16:17:04.080
2012-01-12,1291.4098,0.001675,0.020712,0.07539774874563283,1.187019887559291,-0.8001344382699623,0.7071384296229187,0.03884059989220399,0.0651675309576891,-0.4999999980489061,0.3498832420072401,-0.321047504173038,0.0077469680084998995,0.1129345689515447,266,True,9,97,266,288675,1285.77,1296.66,0.008469632982570863,False,2012-01-12 16:14:58.635
2012-01-13,1284.3522,0.000967,0.020777999999999998,0.0746884175190014,1.545583812091369,-0.8126381076773864,0.7774802178994817,0.04048234471296008,0.06349347337169413,-0.4999999632014825,0.3855028813692794,-0.37360107108884566,0.007813913950230579,0.09786982798355302,254,True,7,99,254,178159,1277.58,1294.82,0.013494262590209694,False,2012-01-13 16:16:13.565
2012-01-17,1297.3128,0.000967,0.020705,0.12280590825193792,1.3679734711360891,-0.9085416050714334,1.0393548089258793,0.04391280257490992,0.4095881340198852,0.031155311393465904,0.0679867860440638,-0.7442679696625037,0.00954323455643104,0.12093373782706694,281,True,8,102,281,283916,1290.97,1302.92,0.009256605498191295,False,2012-01-17 16:19:52.232
