date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2012-01-30,pegged,calibration rejected (boundary-pegged),0.006669608198364214,8,103,327
2012-02-07,pegged,calibration rejected (boundary-pegged),0.007115226109081222,10,102,306
2012-02-15,pegged,calibration rejected (boundary-pegged),0.009302261169660903,7,110,347
2012-03-14,pegged,calibration rejected (boundary-pegged),0.015710243276640293,9,109,368
2012-03-16,pegged,calibration rejected (boundary-pegged),0.008361253917001198,8,93,252
2012-04-02,iv_miss,calibration rejected (iv_rmse=0.0389 > 0.02),0.03894339280237344,9,122,364
2012-05-04,pegged,calibration rejected (boundary-pegged),0.009304216988318544,12,110,427
2012-06-08,iv_miss,calibration rejected (iv_rmse=0.0225 > 0.02),0.022495653574911314,11,116,373
2012-06-12,pegged,calibration rejected (boundary-pegged),0.01146987126240573,12,119,408
2012-07-06,pegged,calibration rejected (boundary-pegged),0.010620862333498437,13,101,394
2012-08-01,pegged,calibration rejected (boundary-pegged),0.009470894407449837,10,96,366
2012-08-13,pegged,calibration rejected (boundary-pegged),0.008385652319891882,11,92,335
2012-09-10,iv_miss,calibration rejected (iv_rmse=0.0242 > 0.02),0.02416160682402582,12,100,365
2012-09-13,pegged,calibration rejected (boundary-pegged),0.009601212713011993,11,116,488
2012-09-14,pegged,calibration rejected (boundary-pegged),0.008838617619154814,11,105,406
2012-09-20,pegged,calibration rejected (boundary-pegged),0.00816151486018215,8,104,351
2012-09-27,pegged,calibration rejected (boundary-pegged),0.00973194377399272,13,120,460
2012-09-28,pegged,calibration rejected (boundary-pegged),0.0059862944135774905,11,95,338
2012-10-01,pegged,calibration rejected (boundary-pegged),0.009212253314062455,12,116,391
2012-10-02,pegged,calibration rejected (boundary-pegged),0.007589880654750536,11,108,341
2012-10-03,pegged,calibration rejected (boundary-pegged),0.005577140718345437,9,96,306
2012-10-05,pegged,calibration rejected (boundary-pegged),0.00960739349823425,12,112,436
