date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2012-04-02,iv_miss,calibration rejected (iv_rmse=0.0377 > 0.02),0.03773631668631725,9,122,364
2012-08-01,pegged,calibration rejected (boundary-pegged),0.0075405147264355306,10,96,366
2012-09-13,pegged,calibration rejected (boundary-pegged),0.00854231336226383,11,116,488
2012-09-26,pegged,calibration rejected (boundary-pegged),0.006589800612179578,10,110,398
2012-10-01,pegged,calibration rejected (boundary-pegged),0.007261745479658636,12,116,391
2012-10-03,pegged,calibration rejected (boundary-pegged),0.0052155011497302135,9,96,306
2012-10-05,pegged,calibration rejected (boundary-pegged),0.00801741887511846,12,112,436
2012-11-28,pegged,calibration rejected (boundary-pegged),0.007052210354102699,9,121,432
2012-12-03,pegged,calibration rejected (boundary-pegged),0.006646813946169838,10,117,414
2012-12-06,pegged,calibration rejected (boundary-pegged),0.005883973955135041,10,102,375
2012-12-10,pegged,calibration rejected (boundary-pegged),0.005314048168640535,11,89,314
2012-12-11,pegged,calibration rejected (boundary-pegged),0.006057056475792082,11,104,378
2012-12-12,pegged,calibration rejected (boundary-pegged),0.005817701382303596,12,114,411
2012-12-17,pegged,calibration rejected (boundary-pegged),0.006268053851827898,10,106,314
