date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2012-01-13,iv_miss,calibration rejected (iv_rmse=0.0201 > 0.02),0.02005613092878841,10.0,53.0,134.0
2012-01-20,pegged,calibration rejected (boundary-pegged),0.008665214417520642,7.0,41.0,104.0
2012-02-07,pegged,calibration rejected (boundary-pegged),0.0067685541526640745,11.0,58.0,152.0
2012-02-10,pegged,calibration rejected (boundary-pegged),0.012804104966375329,12.0,60.0,158.0
2012-02-15,pegged,calibration rejected (boundary-pegged),0.00945037379946264,9.0,40.0,124.0
2012-02-21,pegged,calibration rejected (boundary-pegged),0.01052455017024781,10.0,51.0,133.0
2012-02-22,pegged,calibration rejected (boundary-pegged),0.01204003815377496,10.0,56.0,135.0
2012-02-23,pegged,calibration rejected (boundary-pegged),0.009540604231998632,10.0,50.0,149.0
2012-05-11,pegged,calibration rejected (boundary-pegged),0.008117000091425153,10.0,56.0,138.0
2012-05-14,pegged,calibration rejected (boundary-pegged),0.006754515314662965,11.0,70.0,155.0
2012-06-26,iv_miss,calibration rejected (iv_rmse=0.0279 > 0.02),0.02785457504519967,11.0,54.0,161.0
2012-08-02,pegged,calibration rejected (boundary-pegged),0.005668797698986293,11.0,42.0,170.0
2012-08-10,pegged,calibration rejected (boundary-pegged),0.007144013542012607,11.0,43.0,158.0
2012-10-22,pegged,calibration rejected (boundary-pegged),0.011258772957739974,12.0,60.0,173.0
2013-04-17,pegged,calibration rejected (boundary-pegged),0.007897274589177418,12.0,41.0,167.0
2013-11-19,iv_miss,calibration rejected (iv_rmse=0.0326 > 0.02),0.03264488226721048,11.0,38.0,166.0
2014-02-14,pegged,calibration rejected (boundary-pegged),0.0051743667231586715,12.0,45.0,186.0
2014-02-24,iv_miss,calibration rejected (iv_rmse=0.0341 > 0.02),0.034076762329397055,12.0,53.0,191.0
2014-05-16,pegged,calibration rejected (boundary-pegged),0.0042492746253629515,12.0,47.0,180.0
2014-09-25,pegged,calibration rejected (boundary-pegged),0.006801289633939524,12.0,43.0,187.0
2014-10-15,pegged,calibration rejected (boundary-pegged),0.01483842972378351,12.0,26.0,188.0
2014-10-16,pegged,calibration rejected (boundary-pegged),0.014123611707065227,12.0,33.0,183.0
2014-10-17,pegged,calibration rejected (boundary-pegged),0.00621201041853094,12.0,43.0,184.0
2014-10-31,pegged,calibration rejected (boundary-pegged),0.004209526468799145,12.0,48.0,185.0
