date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2013-01-18,no_trades,no trades after IV/DTM filter,,,,
2013-02-13,no_trades,no trades after IV/DTM filter,,,,
2024-04-01,pegged,calibration rejected (boundary-pegged),0.010023063408520634,20.0,301.0,1399.0
2024-04-04,pegged,calibration rejected (boundary-pegged),0.011727847693769479,20.0,277.0,1486.0
2024-04-09,pegged,calibration rejected (boundary-pegged),0.011192949240388021,20.0,303.0,1504.0
2024-05-08,pegged,calibration rejected (boundary-pegged),0.008253708076600181,20.0,293.0,1404.0
2024-05-15,pegged,calibration rejected (boundary-pegged),0.006421650707113208,20.0,240.0,1517.0
2024-05-21,pegged,calibration rejected (boundary-pegged),0.00743218865437715,20.0,281.0,1363.0
2024-05-23,pegged,calibration rejected (boundary-pegged),0.007958113062038974,20.0,262.0,1547.0
2024-05-29,pegged,calibration rejected (boundary-pegged),0.00684315080861553,20.0,306.0,1388.0
2024-06-06,pegged,calibration rejected (boundary-pegged),0.006387300428681861,20.0,282.0,1395.0
2024-06-07,pegged,calibration rejected (boundary-pegged),0.006736836965976764,20.0,242.0,1427.0
2024-06-11,pegged,calibration rejected (boundary-pegged),0.007873438109796864,20.0,236.0,1476.0
2024-06-14,pegged,calibration rejected (boundary-pegged),0.006777278523734119,20.0,296.0,1474.0
2024-06-18,pegged,calibration rejected (boundary-pegged),0.006544268250262176,20.0,235.0,1473.0
2024-06-20,pegged,calibration rejected (boundary-pegged),0.00645318595337673,20.0,252.0,1444.0
2024-06-24,pegged,calibration rejected (boundary-pegged),0.00775365186781012,20.0,326.0,1427.0
2024-06-28,pegged,calibration rejected (boundary-pegged),0.006936246379655273,20.0,297.0,1506.0
2024-07-03,pegged,calibration rejected (boundary-pegged),0.010963145080417258,20.0,291.0,1433.0
2024-07-05,pegged,calibration rejected (boundary-pegged),0.009373105326954146,20.0,252.0,1480.0
2024-07-08,pegged,calibration rejected (boundary-pegged),0.008917505216466278,20.0,273.0,1463.0
2024-07-09,pegged,calibration rejected (boundary-pegged),0.010883270075943434,20.0,270.0,1401.0
2024-07-12,pegged,calibration rejected (boundary-pegged),0.006699018135147865,20.0,279.0,1501.0
2024-07-19,pegged,calibration rejected (boundary-pegged),0.008845923500098937,20.0,334.0,1483.0
2024-07-23,pegged,calibration rejected (boundary-pegged),0.011454996882107072,20.0,307.0,1402.0
2024-10-02,pegged,calibration rejected (boundary-pegged),0.013323676067844372,20.0,308.0,1396.0
2024-10-03,pegged,calibration rejected (boundary-pegged),0.013806969610163264,20.0,277.0,1295.0
2024-10-08,pegged,calibration rejected (boundary-pegged),0.016543613869897715,20.0,251.0,1425.0
2024-10-10,pegged,calibration rejected (boundary-pegged),0.015267170380074633,20.0,319.0,1413.0
