strike,maturity_days,moneyness,w,price
1024.2225,30,0.8,put,0.20319902919938554
1056.2294,30,0.825,put,0.4516277652868622
1088.2364,30,0.85,put,0.9573716077943488
1120.2433,30,0.875,put,1.937166939095201
1152.2503,30,0.9,put,3.7431196305292604
1184.2572,30,0.925,put,6.907460833229171
1216.2642,30,0.95,put,12.17023357473885
1248.2711,30,0.975,put,20.45925263139406
1280.2781,30,1.0,call,30.755958315514714
1312.2851,30,1.025,call,15.973047078554169
1344.292,30,1.05,call,6.45968454558741
1376.299,30,1.075,call,1.7331741885359815
1408.3059,30,1.1,call,0.2518193562899622
1440.3129,30,1.125,call,0.019308801547957447
1472.3198,30,1.15,call,0.0009319927248137069
1504.3268,30,1.175,call,3.363999628066211e-05
1536.3337,30,1.2,call,1.0156652471262993e-06
1024.2225,60,0.8,put,2.2506540857617647
1056.2294,60,0.825,put,3.5334814856058556
1088.2364,60,0.85,put,5.429034428007574
1120.2433,60,0.875,put,8.169363395391517
1152.2503,60,0.9,put,12.04659119837697
1184.2572,60,0.925,put,17.416485302947855
1216.2642,60,0.95,put,24.696357426474645
1248.2711,60,0.975,put,34.35435274639906
1280.2781,60,1.0,call,42.836842875817
1312.2851,60,1.025,call,26.734110923923776
1344.292,60,1.05,call,14.428484035017853
1376.299,60,1.075,call,6.225191210218828
1408.3059,60,1.1,call,1.9756352183949606
1440.3129,60,1.125,call,0.46452990816497425
1472.3198,60,1.15,call,0.08898075818142435
1504.3268,60,1.175,call,0.015088109909899412
1536.3337,60,1.2,call,0.0023810419290018316
1024.2225,90,0.8,put,5.955820318666003
1056.2294,90,0.825,put,8.272855724740838
1088.2364,90,0.85,put,11.334582926110553
1120.2433,90,0.875,put,15.327014680741934
1152.2503,90,0.9,put,20.46667776719012
1184.2572,90,0.925,put,27.0012608911466
1216.2642,90,0.95,put,35.2090350417517
1248.2711,90,0.975,put,45.397090268567304
1280.2781,90,1.0,call,51.829901052036924
1312.2851,90,1.025,call,35.015523872212114
1344.292,90,1.05,call,21.285582956026094
1376.299,90,1.075,call,11.093515882638856
1408.3059,90,1.1,call,4.727166137508898
1440.3129,90,1.125,call,1.6564149438846274
1472.3198,90,1.15,call,0.5091329268426312
1504.3268,90,1.175,call,0.1456206708581576
1536.3337,90,1.2,call,0.040058106068988
1024.2225,120,0.8,put,10.45789210500122
1056.2294,120,0.825,put,13.625015076339013
1088.2364,120,0.85,put,17.573969671728708
1120.2433,120,0.875,put,22.452796845941776
1152.2503,120,0.9,put,28.428135585313022
1184.2572,120,0.925,put,35.686168046798066
1216.2642,120,0.95,put,44.433911911633956
1248.2711,120,0.975,put,54.90179371066127
1280.2781,120,1.0,call,59.264478106244
1312.2851,120,1.025,call,42.006426438321746
