date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2012-01-06,iv_miss,calibration rejected (iv_rmse=0.0231 > 0.02),0.02309836641151776,8.0,99.0,267.0
2012-01-18,pegged,calibration rejected (boundary-pegged),0.01323860095468142,9.0,107.0,313.0
2012-01-20,pegged,calibration rejected (boundary-pegged),0.013474759700801855,7.0,95.0,241.0
2012-01-23,pegged,calibration rejected (boundary-pegged),0.0129946635293483,9.0,103.0,315.0
2012-01-24,pegged,calibration rejected (boundary-pegged),0.015564361912103069,8.0,91.0,260.0
2012-01-31,pegged,calibration rejected (boundary-pegged),0.016035731862971744,9.0,103.0,322.0
2012-02-01,pegged,calibration rejected (boundary-pegged),0.01617280327583116,11.0,111.0,371.0
2012-02-02,pegged,calibration rejected (boundary-pegged),0.017534115044787333,9.0,90.0,267.0
2012-02-03,pegged,calibration rejected (boundary-pegged),0.018432365340490465,10.0,99.0,345.0
2012-02-15,pegged,calibration rejected (boundary-pegged),0.0136364991765755,7.0,110.0,347.0
2012-02-16,pegged,calibration rejected (boundary-pegged),0.010844902285999622,8.0,101.0,325.0
2012-02-17,pegged,calibration rejected (boundary-pegged),0.013012411178342502,9.0,95.0,269.0
2012-02-21,pegged,calibration rejected (boundary-pegged),0.01359413928859112,9.0,101.0,324.0
2012-02-22,pegged,calibration rejected (boundary-pegged),0.015217064290333458,7.0,98.0,286.0
2012-02-23,pegged,calibration rejected (boundary-pegged),0.01678347584496239,10.0,101.0,346.0
2012-02-24,pegged,calibration rejected (boundary-pegged),0.01753017997700832,8.0,90.0,283.0
2012-02-27,pegged,calibration rejected (boundary-pegged),0.016320735308873683,11.0,102.0,380.0
2012-02-28,pegged,calibration rejected (boundary-pegged),0.018850667680211198,9.0,100.0,301.0
2012-02-29,pegged,calibration rejected (boundary-pegged),0.018550020145285902,10.0,112.0,412.0
2012-03-01,pegged,calibration rejected (boundary-pegged),0.016335781221762324,9.0,96.0,304.0
2012-03-02,iv_miss,calibration rejected (iv_rmse=0.0202 > 0.02),0.020191774697964217,10.0,93.0,315.0
2012-03-05,pegged,calibration rejected (boundary-pegged),0.015911659163378104,8.0,94.0,269.0
2012-03-06,pegged,calibration rejected (boundary-pegged),0.01351713596113281,11.0,113.0,350.0
2012-03-07,pegged,calibration rejected (boundary-pegged),0.012853633488972695,8.0,109.0,292.0
2012-03-08,pegged,calibration rejected (boundary-pegged),0.010664071017724479,8.0,102.0,289.0
2012-03-09,pegged,calibration rejected (boundary-pegged),0.01565947333494611,9.0,91.0,261.0
2012-03-12,pegged,calibration rejected (boundary-pegged),0.017201077251881552,9.0,89.0,248.0
2012-03-13,pegged,calibration rejected (boundary-pegged),0.018247871431040653,10.0,119.0,430.0
2012-03-14,iv_miss,calibration rejected (iv_rmse=0.0240 > 0.02),0.023958307674875185,9.0,109.0,368.0
2012-03-15,iv_miss,calibration rejected (iv_rmse=0.0235 > 0.02),0.0235242087322114,10.0,115.0,385.0
2012-03-16,pegged,calibration rejected (boundary-pegged),0.014789565242152948,8.0,93.0,252.0
2012-03-19,pegged,calibration rejected (boundary-pegged),0.012322058535675817,12.0,110.0,369.0
2012-03-21,pegged,calibration rejected (boundary-pegged),0.01846592783882872,9.0,100.0,272.0
2012-04-02,iv_miss,calibration rejected (iv_rmse=0.0416 > 0.02),0.04161693606164885,9.0,122.0,364.0
2012-04-03,pegged,calibration rejected (boundary-pegged),0.01342230764110728,11.0,111.0,340.0
2012-04-04,pegged,calibration rejected (boundary-pegged),0.016815849208023967,10.0,104.0,320.0
2012-04-18,pegged,calibration rejected (boundary-pegged),0.014108776043814886,7.0,99.0,231.0
2012-05-22,iv_miss,calibration rejected (iv_rmse=0.0247 > 0.02),0.024689502254022007,9.0,113.0,387.0
2012-05-30,pegged,calibration rejected (boundary-pegged),0.014648849237071784,9.0,101.0,339.0
2012-06-08,iv_miss,calibration rejected (iv_rmse=0.0217 > 0.02),0.021732486676473064,11.0,116.0,373.0
2012-06-11,iv_miss,calibration rejected (iv_rmse=0.0209 > 0.02),0.02090366502943267,12.0,124.0,392.0
2012-06-18,pegged,calibration rejected (boundary-pegged),0.01549976879657701,11.0,104.0,352.0
2012-08-13,pegged,calibration rejected (boundary-pegged),0.014580355686067706,11.0,92.0,335.0
2012-08-16,pegged,calibration rejected (boundary-pegged),0.018724810934517527,12.0,108.0,452.0
2012-08-20,pegged,calibration rejected (boundary-pegged),0.011723703343890085,12.0,95.0,349.0
2012-08-30,pegged,calibration rejected (boundary-pegged),0.013087780594185465,11.0,95.0,379.0
2012-09-04,pegged,calibration rejected (boundary-pegged),0.01065772972861317,10.0,95.0,358.0
2012-09-05,pegged,calibration rejected (boundary-pegged),0.01555174239008851,10.0,92.0,335.0
2012-09-06,iv_miss,calibration rejected (iv_rmse=0.0229 > 0.02),0.02288535726475771,13.0,106.0,458.0
2012-09-07,iv_miss,calibration rejected (iv_rmse=0.0257 > 0.02),0.025737661536101283,12.0,90.0,362.0
2012-09-11,pegged,calibration rejected (boundary-pegged),0.015140790417414878,11.0,90.0,308.0
2012-09-13,pegged,calibration rejected (boundary-pegged),0.016057144602841064,11.0,116.0,488.0
2012-09-17,pegged,calibration rejected (boundary-pegged),0.013821421971219766,10.0,97.0,312.0
