s_ref,strike,maturity_days,moneyness,w,implied_vol,price,date
1280.2781,960.2086,30,0.75,call,0.3290540809980209,318.03660733521406,2012-01-03
1280.2781,960.2086,30,0.75,put,0.32905408099816663,0.03552502215867267,2012-01-03
1280.2781,973.0114,30,0.76,call,0.32511507898216163,305.251132137435,2012-01-03
1280.2781,973.0114,30,0.76,put,0.325115078982193,0.05117042889978626,2012-01-03
1280.2781,985.8141,30,0.77,call,0.32115806653356493,292.47194813880975,2012-01-03
1280.2781,985.8141,30,0.77,put,0.32115806653349255,0.07310703479483498,2012-01-03
1280.2781,998.6169,30,0.78,call,0.31718191584237265,279.7013313515199,2012-01-03
1280.2781,998.6169,30,0.78,put,0.31718191584236993,0.10361085202519954,2012-01-03
1280.2781,1011.4197,30,0.79,call,0.3131834239064794,266.94228118459444,2012-01-03
1280.2781,1011.4197,30,0.79,put,0.31318342390647413,0.14568128961986956,2012-01-03
1280.2781,1024.2225,30,0.8,call,0.30916032779224506,254.198713713869,2012-01-03
1280.2781,1024.2225,30,0.8,put,0.30916032779224295,0.20323442341476794,2012-01-03
1280.2781,1037.0253,30,0.81,call,0.30510964086247006,241.47569402633232,2012-01-03
1280.2781,1037.0253,30,0.81,put,0.305109640862465,0.2813353403981203,2012-01-03
1280.2781,1049.828,30,0.82,call,0.3010290846673705,228.7797113954589,2012-01-03
1280.2781,1049.828,30,0.82,put,0.3010290846673631,0.38647331404476737,2012-01-03
1280.2781,1062.6308,30,0.83,call,0.2969149231846162,216.11899993164616,2012-01-03
1280.2781,1062.6308,30,0.83,put,0.2969149231846054,0.5268824547523212,2012-01-03
1280.2781,1075.4336,30,0.84,call,0.2927643885982412,203.50390557365714,2012-01-03
1280.2781,1075.4336,30,0.84,put,0.2927643885982365,0.712908701283586,2012-01-03
1280.2781,1088.2364,30,0.85,call,0.28857346265835626,190.9472976945469,2012-01-03
1280.2781,1088.2364,30,0.85,put,0.2885734626583669,0.9574214266934048,2012-01-03
1280.2781,1101.0392,30,0.86,call,0.284338913523124,178.4650200456735,2012-01-03
1280.2781,1101.0392,30,0.86,put,0.2843389135231174,1.276264382340292,2012-01-03
1280.2781,1113.8419,30,0.87,call,0.28005623401488633,166.07637113304133,2012-01-03
1280.2781,1113.8419,30,0.87,put,0.2800562340148976,1.6887360742281974,2012-01-03
1280.2781,1126.6447,30,0.88,call,0.27572086371610005,153.80459833214766,2012-01-03
1280.2781,1126.6447,30,0.88,put,0.2757208637160981,2.2180838778548133,2012-01-03
1280.2781,1139.4475,30,0.89,call,0.2713279349265174,141.67738309177625,2012-01-03
1280.2781,1139.4475,30,0.89,put,0.2713279349265136,2.891989242003683,2012-01-03
1280.2781,1152.2503,30,0.9,call,0.2668721453199021,129.72728654831857,2012-01-03
1280.2781,1152.2503,30,0.9,put,0.26687214531990106,3.7430133030660597,2012-01-03
1280.2781,1165.0531,30,0.91,call,0.2623474937943206,117.99211600684143,2012-01-03
1280.2781,1165.0531,30,0.91,put,0.26234749379432026,4.808963366109209,2012-01-03
1280.2781,1177.8559,30,0.92,call,0.25774730356847775,106.51516346407051,2012-01-03
1280.2781,1177.8559,30,0.92,put,0.25774730356847836,6.133131427858585,2012-01-03
1280.2781,1190.6586,30,0.93,call,0.25306440427642823,95.34525829966371,2012-01-03
1280.2781,1190.6586,30,0.93,put,0.2530644042764281,7.7643468679718435,2012-01-03
1280.2781,1203.4614,30,0.94,call,0.2482897669520958,84.5365683605855,2012-01-03
1280.2781,1203.4614,30,0.94,put,0.2482897669520956,9.756777533413699,2012-01-03
1280.2781,1216.2642,30,0.95,call,0.24341516412379582,74.14807812138505,2012-01-03
1280.2781,1216.2642,30,0.95,put,0.2434151641237964,12.169407898733537,2012-01-03
1280.2781,1229.067,30,0.96,call,0.2384291813045191,64.24267094389579,2012-01-03
1280.2781,1229.067,30,0.96,put,0.2384291813045194,15.065121325764338,2012-01-03
1280.2781,1241.8698,30,0.97,call,0.2333207737588741,54.88574650380533,2012-01-03
1280.2781,1241.8698,30,0.97,put,0.23332077375887347,18.509317490194167,2012-01-03
1280.2781,1254.6725,30,0.98,call,0.22807520111912089,46.14331626412247,2012-01-03
1280.2781,1254.6725,30,0.98,put,0.2280752011191203,22.568007855031595,2012-01-03
1280.2781,1267.4753,30,0.99,call,0.22267761084597912,38.07954166439645,2012-01-03
1280.2781,1267.4753,30,0.99,put,0.22267761084597967,27.30535385982564,2012-01-03
1280.2781,1280.2781,30,1.0,call,0.21710999334125167,30.75371364757379,2012-01-03
1280.2781,1280.2781,30,1.0,put,0.2171099933412518,32.78064644752327,2012-01-03
1280.2781,1293.0809,30,1.01,call,0.2113520195994721,24.216720222728302,2012-01-03
1280.2781,1293.0809,30,1.01,put,0.21135201959947197,39.04477362719807,2012-01-03
1280.2781,1305.8837,30,1.02,call,0.20538109962963152,18.50711248419383,2012-01-03
1280.2781,1305.8837,30,1.02,put,0.20538109962963158,46.136286493183654,2012-01-03
1280.2781,1318.6864,30,1.03,call,0.19917250433074796,13.646959651254468,2012-01-03
1280.2781,1318.6864,30,1.03,put,0.19917250433074754,54.077254264764576,2012-01-03
1280.2781,1331.4892,30,1.04,call,0.19270248817573787,9.637777763066426,2012-01-03
1280.2781,1331.4892,30,1.04,put,0.19270248817573699,62.86919298109682,2012-01-03
1280.2781,1344.292,30,1.05,call,0.18595352788410444,6.456902910617569,2012-01-03
1280.2781,1344.292,30,1.05,put,0.18595352788410532,72.48943873316803,2012-01-03
1280.2781,1357.0948,30,1.06,call,0.17893130800395804,4.054669413426996,2012-01-03
1280.2781,1357.0948,30,1.06,put,0.17893130800395887,82.88832584049774,2012-01-03
1280.2781,1369.8976,30,1.07,call,0.1716951229472018,2.3525283546937397,2012-01-03
1280.2781,1369.8976,30,1.07,put,0.17169512294719974,93.98730538628455,2012-01-03
1280.2781,1382.7003,30,1.08,call,0.16439990067888433,1.2423894162049303,2012-01-03
1280.2781,1382.7003,30,1.08,put,0.164399900678878,105.67828705231604,2012-01-03
1280.2781,1395.5031,30,1.09,call,0.15731261200527855,0.5902474150778659,2012-01-03
1280.2781,1395.5031,30,1.09,put,0.15731261200527769,117.82726565570925,2012-01-03
1280.2781,1408.3059,30,1.1,call,0.1507513984536327,0.2512384071246018,2012-01-03
1280.2781,1408.3059,30,1.1,put,0.15075139845363048,130.28937725227607,2012-01-03
1280.2781,1421.1087,30,1.11,call,0.1449676999081558,0.09627771718931273,2012-01-03
1280.2781,1421.1087,30,1.11,put,0.14496769990816208,142.93553716686108,2012-01-03
1280.2781,1433.9115,30,1.12,call,0.1400736513993869,0.03358918528304522,2012-01-03
1280.2781,1433.9115,30,1.12,put,0.14007365139939976,155.67396923947507,2012-01-03
1280.2781,1446.7143,30,1.13,call,0.13605238095172234,0.01081395511461232,2012-01-03
1280.2781,1446.7143,30,1.13,put,0.13605238095167432,168.4523146138265,2012-01-03
1280.2781,1459.517,30,1.14,call,0.13281357123556814,0.0032553989643382014,2012-01-03
1280.2781,1459.517,30,1.14,put,0.13281357123622414,181.2458766621965,2012-01-03
1280.2781,1472.3198,30,1.15,call,0.13024070905696652,0.0009270553580901895,2012-01-03
1280.2781,1472.3198,30,1.15,put,0.13024070905433638,194.0446689231103,2012-01-03
1280.2781,1485.1226,30,1.16,call,0.12821897966777457,0.0002521991432364981,2012-01-03
1280.2781,1485.1226,30,1.16,put,0.12821897966348922,206.84511467141573,2012-01-03
1280.2781,1497.9254,30,1.17,call,0.12664856718564316,6.60751456370941e-05,2012-01-03
1280.2781,1497.9254,30,1.17,put,0.12664856718576867,219.6460491519382,2012-01-03
1280.2781,1510.7282,30,1.18,call,0.12544530743022778,1.678361769730277e-05,2012-01-03
1280.2781,1510.7282,30,1.18,put,0.1254453074298804,232.44712046493055,2012-01-03
1280.2781,1523.5309,30,1.19,call,0.12454073231390188,4.155963966032134e-06,2012-01-03
1280.2781,1523.5309,30,1.19,put,0.12454073224649974,245.2482284417971,2012-01-03
1280.2781,1536.3337,30,1.2,call,0.12387999415767373,1.0077913742765528e-06,2012-01-03
1280.2781,1536.3337,30,1.2,put,0.12387999458124077,258.04934589814457,2012-01-03
1280.2781,960.2086,60,0.75,call,0.3280689762397402,316.78932029559525,2012-01-03
1280.2781,960.2086,60,0.75,put,0.32806897623974673,0.8529405048512207,2012-01-03
1280.2781,973.0114,60,0.76,call,0.32414911161176924,304.1804331893486,2012-01-03
1280.2781,973.0114,60,0.76,put,0.32414911161176646,1.043513822982008,2012-01-03
1280.2781,985.8141,60,0.77,call,0.3202119708093736,291.6092061820748,2012-01-03
1280.2781,985.8141,60,0.77,put,0.32021197080937647,1.271747240085738,2012-01-03
1280.2781,998.6169,60,0.78,call,0.316255822744595,279.08203821364106,2012-01-03
1280.2781,998.6169,60,0.78,put,0.3162558227446005,1.5440396960294527,2012-01-03
1280.2781,1011.4197,60,0.79,call,0.3122782235849688,266.60621340717177,2012-01-03
1280.2781,1011.4197,60,0.79,put,0.3122782235849735,1.8676753139375541,2012-01-03
1280.2781,1024.2225,60,0.8,call,0.3082765048386081,254.18998741064084,2012-01-03
1280.2781,1024.2225,60,0.8,put,0.30827650483860997,2.2509097417841666,2012-01-03
1280.2781,1037.0253,60,0.81,call,0.3042480372766096,241.84267592114304,2012-01-03
1280.2781,1037.0253,60,0.81,put,0.3042480372766111,2.7030586766636904,2012-01-03
1280.2781,1049.828,60,0.82,call,0.30019011597747647,229.57474419165322,2012-01-03
1280.2781,1049.828,60,0.82,put,0.3001901159774788,3.2345873715511657,2012-01-03
1280.2781,1062.6308,60,0.83,call,0.2960996941657649,217.39789604455643,2012-01-03
1280.2781,1062.6308,60,0.83,put,0.29609969416576604,3.8571996488319225,2012-01-03
1280.2781,1075.4336,60,0.84,call,0.2919734753156682,205.32516061382407,2012-01-03
1280.2781,1075.4336,60,0.84,put,0.2919734753156682,4.58392464247709,2012-01-03
1280.2781,1088.2364,60,0.85,call,0.2878082493855534,193.37097470952168,2012-01-03
1280.2781,1088.2364,60,0.85,put,0.28780824938555305,5.429199162552011,2012-01-03
1280.2781,1101.0392,60,0.86,call,0.2836000538570705,181.5512583461196,2012-01-03
1280.2781,1101.0392,60,0.86,put,0.28360005385707215,6.408943223527453,2012-01-03
1280.2781,1113.8419,60,0.87,call,0.27934497377033934,169.88348060275376,2012-01-03
1280.2781,1113.8419,60,0.87,put,0.2793449737703396,7.540625904538924,2012-01-03
1280.2781,1126.6447,60,0.88,call,0.27503850217330367,158.38671259322626,2012-01-03
1280.2781,1126.6447,60,0.88,put,0.27503850217330317,8.843318319388958,2012-01-03
1280.2781,1139.4475,60,0.89,call,0.2706759435714654,147.08166392170497,2012-01-03
1280.2781,1139.4475,60,0.89,put,0.27067594357146635,10.337730072245218,2012-01-03
1280.2781,1152.2503,60,0.9,call,0.26625202211399507,135.99069859442332,2012-01-03
1280.2781,1152.2503,60,0.9,put,0.2662520221139945,12.046225169340866,2012-01-03
1280.2781,1165.0531,60,0.91,call,0.2617606814201766,125.13782595833545,2012-01-03
1280.2781,1165.0531,60,0.91,put,0.2617606814201756,13.992812957630528,2012-01-03
