metric,price,vol,delta_vol_minus_price
attempted_days,3215,3215,0
accepted_days,1713,1645,-68
accept_rate,0.532815,0.511664,-0.021151
rejected_days,1502,1570,68
rej_pegged,1398,1479,81
rej_iv_miss,103,90,-13
rej_no_trades,1,1,0
rej_thin,0,0,0
rej_no_rate,0,0,0
rej_no_fit,0,0,0
pegged_share_of_rejections,0.930759,0.942038,0.011279
pegged_share_of_attempted,0.434837,0.460031,0.025194
iv_rmse_median_volpts,0.478937,0.452111,-0.026826
iv_rmse_mean_volpts,0.5489,0.515208,-0.033692
iv_rmse_p90_volpts,0.888896,0.833081,-0.055815
iv_rmse_max_volpts,1.926194,1.908771,-0.017423
price_rmse_max,0.323809,36.267215,35.943405
price_rmse_gt_0.2_count,2,18,16
theta_median,0.052708,0.054217,0.001509
theta_mean,0.072474,0.070062,-0.002411
theta_p10,0.033912,0.037192,0.003281
theta_p90,0.126163,0.122125,-0.004037
kappa_median,2.187824,2.123848,-0.063976
kappa_mean,2.726288,2.61048,-0.115809
kappa_p10,0.720558,0.833406,0.112848
kappa_p90,5.411047,4.989431,-0.421617
eta_median,0.886919,0.904556,0.017637
eta_mean,0.96104,0.981929,0.020889
eta_p10,0.598413,0.63197,0.033557
eta_p90,1.458791,1.471897,0.013106
rho_median,-0.782469,-0.77878,0.003689
rho_mean,-0.766381,-0.768625,-0.002244
rho_p10,-0.893689,-0.895627,-0.001938
rho_p90,-0.617506,-0.64062,-0.023114
v0_median,0.0156,0.015652,5.2e-05
v0_mean,0.020784,0.020601,-0.000182
v0_p10,0.007157,0.007058,-9.9e-05
v0_p90,0.039399,0.037999,-0.001399
feller_median,-0.541623,-0.575809,-0.034186
feller_lt0_count,1701,1640,-61
feller_lt0_share,0.992995,0.99696,0.003966
eta_gt_1p5_count,146,150,4
eta_gt_1p5_share,0.085231,0.091185,0.005955
eta_max,1.990677,1.997834,0.007157
rho_pegged_lt_-0p99_count,14,9,-5
kappa_at_ceiling_count,0,0,0
val_graded_days,1713,1645,-68
val_pass_count,1708,1641,-67
val_pass_rate,0.997081,0.997568,0.000487
reprice_rel_err_median_pct,6.653779,6.437691,-0.216087
reprice_rel_err_p90_pct,10.60862,10.049103,-0.559516
val_flag_feller_violated,1701,1640,-61
val_flag_eta_susp,146,150,4
val_flag_rho_pegged,9,6,-3
val_flag_v0_atm_mismatch,4,4,0
val_flag_kappa_degenerate,8,4,-4
val_flag_rho_wrong_sign,0,0,0
accepted_dates_shared,1579,1579,0
accepted_dates_objective_only,134,66,
