strike,maturity_days,moneyness,w,price
960.2086,30,0.75,put,0.035512988092652235
992.2155,30,0.775,put,0.08709774490794388
1024.2225,30,0.8,put,0.20319902919938554
1056.2294,30,0.825,put,0.4516277652868622
1088.2364,30,0.85,put,0.9573716077943488
1120.2433,30,0.875,put,1.937166939095201
1152.2503,30,0.9,put,3.7431196305292604
1184.2572,30,0.925,put,6.907460833229171
1216.2642,30,0.95,put,12.17023357473885
1248.2711,30,0.975,put,20.45925263139406
1280.2781,30,1.0,call,30.755958315514714
1312.2851,30,1.025,call,15.973047078554169
1344.292,30,1.05,call,6.45968454558741
1376.299,30,1.075,call,1.7331741885359815
1408.3059,30,1.1,call,0.2518193562899622
1440.3129,30,1.125,call,0.019308801547957447
1472.3198,30,1.15,call,0.0009319927248137069
1504.3268,30,1.175,call,3.363999628066211e-05
1536.3337,30,1.2,call,1.0156652471262993e-06
1568.3407,30,1.225,call,2.7500307940510008e-08
960.2086,40,0.75,put,0.16305683552363967
992.2155,40,0.775,put,0.32799874883449787
1024.2225,40,0.8,put,0.6361421456880091
1056.2294,40,0.825,put,1.191091835076987
1088.2364,40,0.85,put,2.155268343815939
1120.2433,40,0.875,put,3.772046933409732
1152.2503,40,0.9,put,6.388906730629641
1184.2572,40,0.925,put,10.476154333978315
1216.2642,40,0.95,put,16.63220371516065
1248.2711,40,0.975,put,25.562660920343603
1280.2781,40,1.0,call,35.316228223379944
1312.2851,40,1.025,call,19.972520362084584
1344.292,40,1.05,call,9.258069164217618
1376.299,40,1.075,call,3.118039092584354
1408.3059,40,1.1,call,0.6618864798291672
1440.3129,40,1.125,call,0.08813773926687223
1472.3198,40,1.15,call,0.00843614325271504
1504.3268,40,1.175,call,0.000658268906324366
1536.3337,40,1.2,call,4.5364251999644243e-05
1568.3407,40,1.225,call,2.900848482620527e-06
960.2086,50,0.75,put,0.43057024306383157
992.2155,50,0.775,put,0.7677767221661201
1024.2225,50,0.8,put,1.3304555004654615
1056.2294,50,0.825,put,2.2430181812755197
1088.2364,50,0.85,put,3.682534063862693
1120.2433,50,0.875,put,5.892264945873845
1152.2503,50,0.9,put,9.194042973079295
1184.2572,50,0.925,put,13.996330877098545
