strike,maturity_days,moneyness,w,implied_vol,price
960.2086,30,0.75,put,0.32904463203899675,0.035512988092652235
973.0114,30,0.76,put,0.3251062646495358,0.05115495640678808
985.8141,30,0.77,put,0.321149896773227,0.07308746136638859
998.6169,30,0.78,put,0.3171744010665425,0.1035865211066946
1011.4197,30,0.79,put,0.3131765795068699,0.1456516231728526
1024.2225,30,0.8,put,0.3091541692312343,0.20319902919938554
1037.0253,30,0.81,put,0.3051041835973944,0.2812941623746839
1049.828,30,0.82,put,0.30102434790442467,0.3864268342413247
1062.6308,30,0.83,put,0.29691092573191646,0.5268319539315904
1075.4336,30,0.84,put,0.2927611520706892,0.7128565833758138
1088.2364,30,0.85,put,0.2885710106690628,0.9573716077943488
1101.0392,30,0.86,put,0.2843372720305485,1.2762227386921456
1113.8419,30,0.87,put,0.28005543195076266,1.6887109345965445
1126.6447,30,0.88,put,0.27572093307362283,2.2180865338580147
1139.4475,30,0.89,put,0.2713289114048133,2.892034435221441
1152.2503,30,0.9,put,0.26687406888551946,3.7431196305292604
1165.0531,30,0.91,put,0.2623504093579796,4.809153526964659
1177.8559,30,0.92,put,0.257751261876543,6.133432215202817
1190.6586,30,0.93,put,0.2530694627141128,7.764788793586763
1203.4614,30,0.94,put,0.2482959922331687,9.7573939628806
1216.2642,30,0.95,put,0.24342263131254713,12.17023357473885
1229.067,30,0.96,put,0.2384379788676855,15.06619017395769
1241.8698,30,0.97,put,0.2333310043769017,18.510659641038554
1254.6725,30,0.98,put,0.22808698576443323,22.569645883367468
1267.4753,30,0.99,put,0.2226910942325599,27.307298347287006
1280.2781,30,1.0,call,0.21712534923258353,30.755958315514714
1293.0809,30,1.01,call,0.211369459184957,24.219237064519884
1305.8837,30,1.02,call,0.2054008817191125,18.50984753673331
1318.6864,30,1.03,call,0.19919494804951057,13.649830260618707
1331.4892,30,1.04,call,0.19272798262913585,9.640672371684007
1344.292,30,1.05,call,0.18598253269725348,6.45968454558741
1357.0948,30,1.06,call,0.1789643014356223,4.057184772499938
1369.8976,30,1.07,call,0.1717324333462396,2.354627346624993
1382.7003,30,1.08,call,0.16444140160307155,1.243963252308978
1395.5031,30,1.09,call,0.1573574502382136,0.5912788498356532
1408.3059,30,1.1,call,0.15079811518051217,0.2518193562899622
1421.1087,30,1.11,call,0.14501472273644697,0.09655925037080587
1433.9115,30,1.12,call,0.1401197851696896,0.033708381297039416
1446.7143,30,1.13,call,0.1360969142597246,0.01085897818095669
1459.517,30,1.14,call,0.13285617951801287,0.0032708857120605965
1472.3198,30,1.15,call,0.13028132899477127,0.0009319927248137069
1485.1226,30,1.16,call,0.12825768983401584,0.0002536792212993295
1497.9254,30,1.17,call,0.1266855039835325,6.649716107039477e-05
1510.7282,30,1.18,call,0.1254806226620873,1.689912830861821e-05
1523.5309,30,1.19,call,0.12457458826608829,4.186539615425645e-06
1536.3337,30,1.2,call,0.12391253953272474,1.0156652471262993e-06
960.2086,35,0.75,put,0.32888169998657374,0.0838629179965162
973.0114,35,0.76,put,0.32494638938564546,0.11535633228884687
985.8141,35,0.77,put,0.32099376982455374,0.1575840075118312
998.6169,35,0.78,put,0.3170215458769901,0.21380998401443524
1011.4197,35,0.79,put,0.31302731830673725,0.2881585572685736
1024.2225,35,0.8,put,0.30900851870222606,0.38579984108416404
1037.0253,35,0.81,put,0.3049626148112982,0.5131633290565148
1049.828,35,0.82,put,0.30088639569820386,0.6781802172180712
1062.6308,35,0.83,put,0.29677715364995516,0.8905540860513272
1075.4336,35,0.84,put,0.29263129269812965,1.16205796913071
1088.2364,35,0.85,put,0.28844585169427356,1.5068538041981636
1101.0392,35,0.86,put,0.2842165381135208,1.9418277261861148
1113.8419,35,0.87,put,0.2799391443091013,2.486931593880945
1126.6447,35,0.88,put,0.2756098285038561,3.165517542324875
1139.4475,35,0.89,put,0.27122308676868057,4.004648258537145
1152.2503,35,0.9,put,0.2667737553966271,5.035361174531388
1165.0531,35,0.91,put,0.26225586606569845,6.292860007420047
1177.8559,35,0.92,put,0.25766282253093004,7.816602276309128
1190.6586,35,0.93,put,0.2529873041843381,9.65024690501415
1203.4614,35,0.94,put,0.24822107275599628,11.841422196808185
1216.2642,35,0.95,put,0.24335488370789418,14.441271874484556
1229.067,35,0.96,put,0.23837826038496074,17.50373616769694
1241.8698,35,0.97,put,0.23327930108514403,21.08452687145134
1254.6725,35,0.98,put,0.2280445840884752,25.239760780026216
1267.4753,35,0.99,put,0.22265846108787826,30.024225909465773
1280.2781,35,1.0,call,0.21710327255834194,33.12487890652604
1293.0809,35,1.01,call,0.21135884026958981,26.51509230722752
1305.8837,35,1.02,call,0.20540267875766685,20.668040068027768
1318.6864,35,1.03,call,0.19921047082570226,15.608700799535379
1331.4892,35,1.04,call,0.19275892596099722,11.347175632282108
1344.292,35,1.05,call,0.18603261619025102,7.875600007345005
1357.0948,35,1.06,call,0.17904042526607722,5.165103109613835
1369.8976,35,1.07,call,0.17184601600540603,3.1623655783224014
1382.7003,35,1.08,call,0.1646060477886751,1.7853181826592741
1395.5031,35,1.09,call,0.1575814273789962,0.9207346109727333
1408.3059,35,1.1,call,0.1510778085519715,0.43256338849083736
1421.1087,35,1.11,call,0.1453376780445411,0.18598947481907588
1433.9115,35,1.12,call,0.14046994857953304,0.07391158594470194
1446.7143,35,1.13,call,0.13646018266662802,0.027464934140503404
1459.517,35,1.14,call,0.13322177959488762,0.009650523823481787
1472.3198,35,1.15,call,0.13064192675090147,0.0032380608397071177
1485.1226,35,1.16,call,0.12860931306492962,0.001046042190821555
1497.9254,35,1.17,call,0.1270249144757865,0.0003275562249852414
1510.7282,35,1.18,call,0.12580629252822145,9.997955756100607e-05
1523.5309,35,1.19,call,0.12488643593167685,2.9882261249079884e-05
1536.3337,35,1.2,call,0.12421024444537804,8.778831165803595e-06
960.2086,40,0.75,put,0.3287182082630619,0.16305683552363967
973.0114,40,0.76,put,0.32478616879988886,0.21661811302050427
985.8141,40,0.77,put,0.32083702968495953,0.28605758360844574
998.6169,40,0.78,put,0.31686796814524626,0.37554087233033917
1011.4197,40,0.79,put,0.31287736095097146,0.4901683627317746
1024.2225,40,0.8,put,0.3088621442589094,0.6361421456880091
1037.0253,40,0.81,put,0.3048199504761946,0.820951844220597
1049.828,40,0.82,put,0.3007477258565174,1.0535786179280597
1062.6308,40,0.83,put,0.29664223420661423,1.3447156869492614
1075.4336,40,0.84,put,0.29250094978377245,1.7070025157944464
1088.2364,40,0.85,put,0.2883196789427763,2.155268343815939
1101.0392,40,0.86,put,0.2840946546631504,2.7067790308336734
1113.8419,40,0.87,put,0.27982219722661483,3.381479203399466
1126.6447,40,0.88,put,0.2754977783677666,4.202219453565642
1139.4475,40,0.89,put,0.27111620659916685,5.194955890398161
1152.2503,40,0.9,put,0.2666723144521091,6.388906730629641
1165.0531,40,0.91,put,0.2621600085015631,7.816647922413906
1177.8559,40,0.92,put,0.2575731598712121,9.514127142089835
1190.6586,40,0.93,put,0.25290392310295023,11.520573043402337
1203.4614,40,0.94,put,0.24814461486786038,13.87827457033558
1216.2642,40,0.95,put,0.24328563688152519,16.63220371516065
1229.067,40,0.96,put,0.23831677661083714,19.829454611604557
1241.8698,40,0.97,put,0.23322618223019242,23.518472656777952
1254.6725,40,0.98,put,0.22800042434341003,27.748049883159627
1267.4753,40,0.99,put,0.2226238918378887,32.56606758867021
1280.2781,40,1.0,call,0.21707917566734092,35.316228223379944
1293.0809,40,1.01,call,0.21134617086745186,28.64269088922107
1305.8837,40,1.02,call,0.20540258851652166,22.67926312883568
1318.6864,40,1.03,call,0.1992246236300519,17.452456640133654
1331.4892,40,1.04,call,0.19279003536791062,12.977941723992076
1344.292,40,1.05,call,0.18608561745163033,9.258069164217618
